ID,Name,variationId,behaviorJudgeId,ezStateBehaviorType_old,refType,pad2,refId,consumeSA,stamina,consumeDurability,category,heroPoint,pad1,
100307470,Knight's Greatsword - Guard Stance,307,470,1,0,[0|0],307470,0,0,0,0,0,[0|0]
100307480,Knight's Greatsword - Guard Stance (During Parry),307,480,1,0,[0|0],307480,0,0,0,0,0,[0|0]
100307591,Knight's Greatsword - Guard Stance: Quick Deflect,307,591,1,0,[0|0],307591,0,12,0,0,0,[0|0]
100330470,Leontiel's Greatsword - Guard Stance,330,470,1,0,[0|0],307470,0,0,0,0,0,[0|0]
100330480,Leontiel's Greatsword - Guard Stance (During Parry),330,480,1,0,[0|0],307480,0,0,0,0,0,[0|0]
100330591,Leontiel's Greatsword - Guard Stance: Quick Deflect,330,591,1,0,[0|0],307591,0,12,0,0,0,[0|0]
106710470,LGS - Guard Stance,6710,470,1,0,[0|0],307470,0,0,0,0,0,[0|0]
106710480,LGS - Guard Stance (During Parry),6710,480,1,0,[0|0],307480,0,0,0,0,0,[0|0]
106710591,LGS - Guard Stance: Quick Deflect,6710,591,1,0,[0|0],307591,0,12,0,0,0,[0|0]
300307087,Knight's Greatsword - Guard Stance: Special 1 (Sword Bash),307,87,1,0,[0|0],300307805,0,16,0,9,0,[0|0]
300330087,Leontiel's Greatsword - Guard Stance: Special 1 (Sword Bash),330,87,1,0,[0|0],300307805,0,16,0,9,0,[0|0]
306710087,LGS - Guard Stance: Special 1 (Sword Bash),6710,87,1,0,[0|0],300307805,0,16,0,9,0,[0|0]
